idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
80,4.0,2.8228802234501245e-69,1.5492839681663822e-37,-2.648004028351933,7.822995153115012e-68,4.2935016771456503e-36,-1.1575082025841477,2.075489078574613e-67,1.1390925937374896e-35,-0.18120023572358868,0.0,70.0,255.0,255.0,255.0
81,4.05,7.172596348981289e-69,3.936542698940259e-37,-2.706106130967687,7.379958466991264e-68,4.05034944226897e-36,-1.1665049331668964,-5.734174654928804e-67,-3.147092388032434e-35,-0.17842114512176543,0.0,70.0,255.0,255.0,255.0
82,4.1000000000000005,1.0202838690441388e-68,5.599633410435352e-37,-2.7646545216686227,2.088820498186208e-68,1.1464092891132164e-36,-1.1753503170963242,-1.5155475775223558e-66,-8.317793809823928e-35,-0.17526983640467897,0.0,70.0,255.0,255.0,255.0
83,4.15,9.261416847167497e-69,5.082951988053476e-37,-2.8236411626773195,-7.775517308232295e-68,-4.267444367554959e-36,-1.1840319168073643,-2.1885369762950952e-66,-1.201136776171555e-34,-0.17199023316183393,0.0,70.0,255.0,255.0,255.0
84,4.2,2.427321382209093e-69,1.3321890428803934e-37,-2.883057713349359,-1.9796549264764743e-67,-1.0864958472602335e-35,-1.1925493404125076,-2.1420298070557983e-66,-1.1756122033934792e-34,-0.16882289160000674,0.0,70.0,255.0,255.0,255.0
85,4.25,-1.0535132417597248e-68,-5.782006484548859e-37,-2.94289609671857,-2.919581537879028e-67,-1.6023566401489753e-35,-1.200914205967365,-7.74583069179478e-67,-4.251151434353728e-35,-0.16600895993494902,0.0,70.0,255.0,255.0,255.0
86,4.3,-2.6768493996581192e-68,-1.469137735860936e-36,-3.0031491339460956,-2.7542379956559523e-67,-1.5116109906956063e-35,-1.2091502364060025,2.1400231151668003e-66,1.174510868825031e-34,-0.16367053741208615,0.0,70.0,255.0,255.0,255.0
87,4.3500000000000005,-3.807751237415677e-68,-2.0898116391504923e-36,-3.0638111203591705,-7.795584227122277e-68,-4.278457713239444e-36,-1.2172812597085736,5.656100560601363e-66,3.1042429105144795e-34,-0.16169096091984692,0.0,70.0,255.0,255.0,255.0
88,4.4,-3.456407822370347e-68,-1.8969835071848804e-36,-3.124877259916953,2.901862564945412e-67,1.5926319198188733e-35,-1.2253193324979872,8.16773118977646e-66,4.48270347551173e-34,-0.1598366718204236,0.0,70.0,255.0,255.0,255.0
89,4.45,-9.058886724702649e-69,-4.9717971933161905e-37,-3.186343053608969,7.388172767064232e-67,4.054857704187786e-35,-1.233264926890616,7.994164071259247e-66,4.387444473062488e-34,-0.15787641048423673,0.0,70.0,255.0,255.0,255.0
90,4.5,3.931764944693886e-68,2.157874197002906e-36,-3.2482037526060146,1.0896026636204658e-66,5.980076392881361e-35,-1.2411069735464109,2.8907833688604403e-66,1.586551314367736e-34,-0.15557996183304112,0.0,70.0,255.0,255.0,255.0
91,4.55,9.990137963734394e-68,5.482896673549742e-36,-3.3104537509636103,1.0278956135924673e-66,5.641409018555522e-35,-1.24882292307392,-7.986674995174471e-66,-4.383334236496957e-34,-0.15283013180371618,0.0,70.0,255.0,255.0,255.0
92,4.6000000000000005,1.421072108061856e-67,7.799283215558428e-36,-3.3730860449134066,2.909351641030188e-67,1.5967421563844033e-35,-1.2563899867267825,-2.1108854664883167e-65,-1.1585192261075563e-33,-0.14973172784147337,0.0,70.0,255.0,255.0,255.0
93,4.65,1.2899489604764582e-67,7.079638829934146e-36,-3.4360927496362885,-1.0829898528958494e-66,-5.943783242520041e-35,-1.2637960958580674,-3.0482387782810686e-65,-1.6729677125875338e-33,-0.14649767163050775,0.0,70.0,255.0,255.0,255.0
94,4.7,3.380822551660066e-68,1.855499973038387e-36,-3.4994656544992133,-2.75730361417805e-66,-1.5132934969490934e-34,-1.2710397538898333,-2.9834626477981106e-65,-1.637416568885642e-33,-0.14333803988932914,0.0,70.0,255.0,255.0,255.0
95,4.75,-1.467354653701592e-67,-8.053296139556789e-36,-3.563196725025272,-4.0664525006939604e-66,-2.2317948931376462e-34,-1.2781298998470003,-1.078855040626224e-65,-5.92109011403554e-34,-0.14045515543674725,0.0,70.0,255.0,255.0,255.0
96,4.800000000000001,-3.728370245527954e-67,-2.046244895833808e-35,-3.6272786444839134,-3.836158654804274e-66,-2.1054025083526475e-34,-1.285085269433508,2.980667686553105e-65,1.6358826077162797e-33,-0.13795550880009166,0.0,70.0,255.0,255.0,255.0
97,4.8500000000000005,-5.303513308505866e-67,-2.9107321223083267e-35,-3.6917052519686226,-1.0857848141408553e-66,-5.959122854213664e-35,-1.2919254507270095,7.877931809893133e-65,4.323652613378777e-33,-0.13577671978941552,0.0,70.0,255.0,255.0,255.0
98,4.9,-4.8141550596688095e-67,-2.6421571812551744e-35,-3.7564711895566143,4.041773155088859e-66,2.2182501050261295e-34,-1.2986629414124495,1.1376181994146642e-64,6.243600502798965e-33,-0.13377804958274453,0.0,70.0,255.0,255.0,255.0
99,4.95,-1.2617401534170072e-67,-6.92482017282197e-36,-3.8215715461098676,1.0290397180005787e-65,5.647688217377599e-34,-1.305303255685284,1.1134434184066529e-64,6.110921828236327e-33,-0.1318181432449883,0.0,70.0,255.0,255.0,255.0
100,5.0,5.476242120336977e-67,3.0055310361224247e-35,-3.8870015151251427,1.5176207339155388e-65,8.329171933262457e-34,-1.3118447557369484,4.02634182561884e-65,2.2097809141774403e-33,-0.12976342574342326,0.0,70.0,255.0,255.0,255.0
101,5.050000000000001,1.3914467185738382e-66,7.63668991598026e-35,-3.9527560216835624,1.4316739005624627e-65,7.857469131555039e-34,-1.3182795982596263,-1.1124003246694992e-64,-6.105197007215435e-33,-0.12753505910318985,0.0,70.0,255.0,255.0,255.0
102,5.1000000000000005,1.9792981125961606e-66,1.0863000167677465e-34,-4.018829474951105,4.0522040924603945e-66,2.223974926047021e-34,-1.3245982616472673,-2.940084177308421e-64,-1.613609122740755e-32,-0.12512502936510295,0.0,70.0,255.0,255.0,255.0
103,5.15,1.7966671278198776e-66,9.860664842027281e-35,-4.085215847848289,-1.5084102767459582e-65,-8.278622095852512e-34,-1.3307921011961366,-4.245648919830549e-64,-2.330143429860832e-32,-0.12254565451392807,0.0,70.0,255.0,255.0,255.0
104,5.2,4.708878358502022e-67,2.584378071824953e-35,-4.151908685070719,-3.84042851058451e-65,-2.10774593725613e-33,-1.3368528270986602,-4.155427408846802e-64,-2.2806270744059658e-32,-0.11980989995112878,0.0,70.0,255.0,255.0,255.0
105,5.25,-2.0437613827646322e-66,-1.1216794530534016e-34,-4.218901130558155,-5.6638376855927605e-65,-3.108489283991217e-33,-1.3427730911912494,-1.5026512261849152e-64,-8.247014645306212e-33,-0.11693515091355522,0.0,70.0,255.0,255.0,255.0
